Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-5086.890000	-17751.240000	-3919.050000	9329.400000	-7752.825000	-3855.690000	6964.470000	-1138.995000	-14.636501	-20.341576	-21.124838	-19.590248	-19.664851	-17.892068	-22.720812	-19.039821	-3.204600	2.029580	0.122080	0.736021	0.654783	0.100219	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.551724	0.000000	-1.000000	-1.000000	1483912.000000	1770064464.277126
-5062.230000	-17732.610000	-3902.850000	9344.025000	-7740.090000	-3851.775000	6986.610000	-1135.260000	-18.343066	-22.064879	-23.172633	-20.161861	-18.017783	-16.452654	-30.246922	-17.869256	-3.204600	2.029580	0.122080	0.736021	0.654783	0.100219	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.551724	0.000000	-1.000000	-1.000000	1483913.000000	1770064464.280369
-5052.015000	-17715.780000	-3892.905000	9345.915000	-7740.855000	-3855.780000	6986.250000	-1187.145000	-14.305857	-14.366165	-14.869049	-11.959989	-8.652979	-7.567633	-22.456397	-10.591698	-3.204600	2.029580	0.122080	0.736021	0.654783	0.100219	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.551724	0.000000	-1.000000	-1.000000	1483914.000000	1770064464.280378
-5015.565000	-17671.950000	-3850.695000	9387.405000	-7700.850000	-3813.705000	7017.750000	-1149.795000	-2.470780	1.147878	1.174105	1.903431	4.484387	4.373374	-2.950959	-1.502313	-3.204600	2.029580	0.122080	0.736021	0.654783	0.100219	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.551724	0.000000	-1.000000	-1.000000	1483915.000000	1770064464.284250
-5012.370000	-17686.755000	-3862.890000	9380.610000	-7704.900000	-3808.035000	7018.380000	-1079.190000	12.284234	17.771443	17.494520	15.264452	15.922937	14.575623	17.192486	7.330009	-3.204600	2.029580	0.122080	0.736021	0.654783	0.100219	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.551724	0.000000	-1.000000	-1.000000	1483916.000000	1770064464.284261
-5064.030000	-17733.735000	-3908.520000	9334.170000	-7753.590000	-3856.275000	6995.475000	-1128.285000	22.550719	26.875022	25.757475	21.889963	20.853448	19.220097	27.425007	16.823317	-3.204600	2.029580	0.122080	0.736021	0.654783	0.100219	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.551724	0.000000	-1.000000	-1.000000	1483917.000000	1770064464.291799
-5075.910000	-17744.310000	-3917.880000	9322.110000	-7774.605000	-3884.760000	6987.780000	-1178.865000	21.420608	22.555854	21.227151	17.898407	16.107010	15.226651	23.868338	22.384939	-3.204600	2.029580	0.122080	0.736021	0.654783	0.100219	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.551724	0.000000	-1.000000	-1.000000	1483918.000000	1770064464.291808
-5052.015000	-17722.620000	-3893.220000	9351.585000	-7739.280000	-3854.835000	6995.835000	-1175.130000	9.458288	7.936902	7.802529	6.507519	4.751220	4.623786	11.032028	16.630202	-3.204600	2.029580	0.122080	0.736021	0.654783	0.100219	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.551724	0.000000	-1.000000	-1.000000	1483919.000000	1770064464.292195
-5040.585000	-17701.965000	-3871.305000	9378.090000	-7710.345000	-3829.050000	6993.360000	-1116.360000	-3.416508	-5.604357	-3.799564	-2.614310	-3.754996	-4.229180	-1.726257	2.525027	-3.204600	2.029580	0.122080	0.736021	0.654783	0.100219	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.551724	0.000000	-1.000000	-1.000000	1483920.000000	1770064464.292205
-5044.185000	-17706.330000	-3877.290000	9370.845000	-7716.690000	-3832.290000	6999.570000	-1044.675000	-8.636697	-9.558205	-6.642307	-3.493053	-3.631034	-5.312788	-7.640266	-7.233907	-5.081580	2.350040	-0.564620	0.738035	0.656004	0.099060	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.551724	0.000000	-1.000000	-1.000000	1483921.000000	1770064464.296240
-5067.000000	-17711.505000	-3879.945000	9366.660000	-7721.775000	-3829.905000	7038.450000	-1058.400000	-7.600374	-6.094688	-3.697071	0.036376	0.842541	-1.257590	-6.457543	-4.917455	-5.081580	2.350040	-0.564620	0.738035	0.656004	0.099060	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.551724	0.000000	-1.000000	-1.000000	1483922.000000	1770064464.296249
-5056.380000	-17697.285000	-3862.665000	9383.625000	-7705.215000	-3812.535000	7016.805000	-1195.380000	-6.504273	-2.722807	-1.770751	0.948117	2.250088	1.763926	-2.225363	2.457146	-5.081580	2.350040	-0.564620	0.738035	0.656004	0.099060	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.551724	0.000000	-1.000000	-1.000000	1483923.000000	1770064464.301898
-5031.090000	-17703.945000	-3872.340000	9371.385000	-7717.770000	-3822.795000	7002.045000	-1212.930000	-7.481813	-3.527191	-3.943324	-3.244675	-1.971379	0.326135	-0.574947	0.161638	-5.081580	2.350040	-0.564620	0.738035	0.656004	0.099060	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.551724	0.000000	-1.000000	-1.000000	1483924.000000	1770064464.301908
-5026.545000	-17713.395000	-3880.395000	9363.105000	-7720.380000	-3819.870000	7040.295000	-1098.090000	-7.251729	-6.730419	-8.222897	-9.724238	-8.822195	-4.715680	-3.868886	-13.855742	-5.081580	2.350040	-0.564620	0.738035	0.656004	0.099060	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.551724	0.000000	-1.000000	-1.000000	1483925.000000	1770064464.307211
-5049.765000	-17736.390000	-3909.915000	9328.455000	-7753.815000	-3849.120000	7014.060000	-1107.045000	-2.676776	-7.888976	-10.249423	-13.391498	-12.797949	-8.953546	-7.876246	-23.206958	-5.081580	2.350040	-0.564620	0.738035	0.656004	0.099060	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.551724	0.000000	-1.000000	-1.000000	1483926.000000	1770064464.307222
-5083.785000	-17750.430000	-3938.085000	9299.745000	-7784.595000	-3880.755000	6992.865000	-1139.940000	3.868157	-5.191667	-8.195024	-11.843305	-11.226745	-9.049693	-8.306823	-15.427244	-5.081580	2.350040	-0.564620	0.738035	0.656004	0.099060	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.551724	0.000000	-1.000000	-1.000000	1483927.000000	1770064464.309673
-5099.580000	-17737.245000	-3931.020000	9309.195000	-7779.465000	-3887.730000	6970.815000	-1124.505000	6.609504	-0.576162	-4.082787	-6.937717	-6.419210	-6.364180	-5.906995	2.851181	-5.081580	2.350040	-0.564620	0.738035	0.656004	0.099060	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.551724	0.000000	-1.000000	-1.000000	1483928.000000	1770064464.309681
