Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-12597.705000	-29675.115000	-8727.345000	4769.010000	-24285.690000	-21164.535000	2033.685000	2651.895000	9.873017	11.631625	10.558162	9.417452	9.430733	7.421744	1.671600	7.491844	-2.594200	5.066320	-2.014320	0.762022	0.633177	0.086487	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.241379	0.000000	-1.000000	-1.000000	1378293.000000	1770064252.946903
-12611.295000	-29694.240000	-8746.245000	4747.680000	-24304.950000	-21181.275000	2019.870000	2648.880000	15.062713	17.200416	16.147856	14.534378	13.633911	10.140159	5.746309	4.040394	-2.594200	5.066320	-2.014320	0.762022	0.633177	0.086487	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.241379	0.000000	-1.000000	-1.000000	1378294.000000	1770064252.946910
-12602.790000	-29681.775000	-8735.715000	4755.735000	-24300.540000	-21175.785000	2007.765000	2642.130000	13.398440	14.999047	14.631136	13.391496	11.956175	8.828679	7.867840	-0.389517	-2.594200	5.066320	-2.014320	0.762022	0.633177	0.086487	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.241379	0.000000	-1.000000	-1.000000	1378295.000000	1770064252.950686
-12591.315000	-29666.475000	-8719.920000	4768.245000	-24291.135000	-21170.340000	2030.535000	2682.675000	7.920832	8.784693	9.038866	8.244677	6.541429	4.934796	7.519283	-2.414439	-2.594200	5.066320	-2.014320	0.762022	0.633177	0.086487	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.241379	0.000000	-1.000000	-1.000000	1378296.000000	1770064252.950692
-12589.830000	-29662.830000	-8714.880000	4770.225000	-24290.865000	-21171.240000	2054.655000	2691.405000	2.598110	3.046967	3.432758	2.587228	0.788189	0.785156	5.851760	-0.254360	-2.594200	5.066320	-2.014320	0.762022	0.633177	0.086487	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.241379	0.000000	-1.000000	-1.000000	1378297.000000	1770064252.953543
-12600.900000	-29678.715000	-8730.990000	4754.745000	-24302.070000	-21179.385000	2033.820000	2661.570000	-1.116593	-0.873522	-0.674669	-1.855440	-3.356307	-2.369729	3.994400	4.023491	-2.594200	5.066320	-2.014320	0.762022	0.633177	0.086487	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.241379	0.000000	-1.000000	-1.000000	1378298.000000	1770064252.953554
-12625.155000	-29709.270000	-8763.255000	4724.235000	-24329.205000	-21210.615000	1989.495000	2635.380000	-4.379489	-4.582225	-4.534298	-5.607316	-6.157141	-4.871190	0.988577	4.644525	-2.594200	5.066320	-2.014320	0.762022	0.633177	0.086487	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.241379	0.000000	-1.000000	-1.000000	1378299.000000	1770064252.958149
-12618.945000	-29701.845000	-8757.990000	4729.320000	-24325.830000	-21208.545000	1990.395000	2635.560000	-8.410342	-9.577288	-9.522008	-9.567186	-8.624182	-7.477706	-4.277889	-0.867462	-2.594200	5.066320	-2.014320	0.762022	0.633177	0.086487	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.241379	0.000000	-1.000000	-1.000000	1378300.000000	1770064252.958159
-12621.060000	-29707.650000	-8759.610000	4732.335000	-24318.180000	-21199.005000	2020.905000	2644.020000	-12.028423	-14.413876	-14.264753	-12.717838	-10.308052	-9.457541	-9.715067	-7.996247	-4.181240	3.952340	-1.892240	0.758970	0.633787	0.084472	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.241379	0.000000	-1.000000	-1.000000	1378301.000000	1770064252.963144
-12626.820000	-29710.530000	-8759.160000	4737.330000	-24311.115000	-21194.145000	2024.910000	2636.595000	-12.691992	-15.784107	-15.466343	-12.625938	-9.379568	-8.832245	-11.270899	-10.804837	-4.181240	3.952340	-1.892240	0.758970	0.633787	0.084472	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.241379	0.000000	-1.000000	-1.000000	1378302.000000	1770064252.963154
