Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-6760.530000	-21353.940000	-4884.795000	7940.925000	-12060.000000	-8565.030000	5479.335000	-883.215000	-16.456646	-20.983828	-24.066094	-29.362146	-32.966542	-27.945605	-7.335318	-25.028703	-0.930860	3.708180	2.670500	0.666929	0.704649	0.153320	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.758621	0.000000	-1.000000	-1.000000	1441072.000000	1770064378.560124
-6746.265000	-21353.940000	-4881.870000	7950.555000	-12049.065000	-8548.605000	5480.145000	-860.760000	-16.166523	-18.585878	-19.850083	-21.869939	-22.813789	-22.684490	-9.284051	-21.557345	-0.930860	3.708180	2.670500	0.666929	0.704649	0.153320	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.758621	0.000000	-1.000000	-1.000000	1441073.000000	1770064378.564229
-6788.655000	-21388.320000	-4916.880000	7925.040000	-12067.425000	-8546.895000	5464.530000	-869.670000	-6.039487	-5.432443	-4.215977	-1.797628	-0.116254	-3.620271	-4.762145	-5.849265	-0.930860	3.708180	2.670500	0.666929	0.704649	0.153320	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.758621	0.000000	-1.000000	-1.000000	1441074.000000	1770064378.564240
-6776.145000	-21388.005000	-4925.520000	7905.420000	-12086.595000	-8561.430000	5454.360000	-846.090000	7.056815	9.866727	12.640912	18.110550	21.293432	17.737852	2.154507	13.601576	-0.930860	3.708180	2.670500	0.666929	0.704649	0.153320	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.758621	0.000000	-1.000000	-1.000000	1441075.000000	1770064378.564740
-6764.085000	-21400.920000	-4940.550000	7881.120000	-12108.690000	-8586.945000	5462.505000	-852.120000	14.613602	17.248099	19.542460	24.673246	27.795065	26.980830	5.350006	26.186388	-0.930860	3.708180	2.670500	0.666929	0.704649	0.153320	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.758621	0.000000	-1.000000	-1.000000	1441076.000000	1770064378.564750
-6755.850000	-21370.185000	-4896.540000	7936.830000	-12047.940000	-8536.770000	5438.340000	-856.755000	14.391693	14.220371	14.605528	16.268139	17.952317	19.843887	3.162757	26.205946	-0.930860	3.708180	2.670500	0.666929	0.704649	0.153320	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.758621	0.000000	-1.000000	-1.000000	1441077.000000	1770064378.568734
-6730.830000	-21348.000000	-4873.950000	7961.535000	-12026.115000	-8518.995000	5439.015000	-849.870000	10.514113	7.487916	6.450578	4.343636	4.166842	6.313167	-0.945208	15.498883	-0.930860	3.708180	2.670500	0.666929	0.704649	0.153320	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.758621	0.000000	-1.000000	-1.000000	1441078.000000	1770064378.568743
-6770.970000	-21397.770000	-4933.170000	7898.490000	-12095.055000	-8583.480000	5481.900000	-876.645000	7.932199	4.604284	3.532605	-0.056695	-1.769667	-1.922834	-1.895830	1.645889	-0.930860	3.708180	2.670500	0.666929	0.704649	0.153320	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.758621	0.000000	-1.000000	-1.000000	1441079.000000	1770064378.573428
-6773.400000	-21382.560000	-4916.385000	7912.980000	-12077.190000	-8563.410000	5451.120000	-839.115000	6.359657	5.019134	4.383089	1.584444	-1.101798	-3.997526	1.856528	-8.213852	-0.930860	3.708180	2.670500	0.666929	0.704649	0.153320	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.758621	0.000000	-1.000000	-1.000000	1441080.000000	1770064378.573437
-6751.575000	-21344.220000	-4871.295000	7958.790000	-12033.675000	-8531.910000	5482.620000	-810.675000	2.723377	4.549498	3.956321	2.650730	-0.194165	-4.052068	6.585475	-11.132773	-2.502640	3.433500	1.632820	0.665526	0.706602	0.151672	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	78.758621	0.000000	-1.000000	-1.000000	1441081.000000	1770064378.576941
