Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-29682.810000	-36432.900000	-28122.345000	-5878.350000	-30087.855000	-15824.430000	2697.795000	-16982.280000	-4.408033	-1.420297	-1.914622	-2.433494	-3.197162	-3.076349	-2.784409	-4.857470	-4.944240	5.310480	0.015260	0.898801	-0.187744	0.393981	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.344828	0.000000	-1.000000	-1.000000	2239869.000000	1770065976.988596
-29689.245000	-36438.120000	-28121.175000	-5872.905000	-30082.770000	-15819.210000	2697.705000	-16984.800000	-1.787603	-0.903369	-2.317654	-4.981269	-5.137783	-4.738067	-3.758709	-4.418761	-4.944240	5.310480	0.015260	0.898801	-0.187744	0.393981	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.344828	0.000000	-1.000000	-1.000000	2239870.000000	1770065976.988607
-29684.880000	-36428.220000	-28106.460000	-5854.770000	-30066.075000	-15800.085000	2705.805000	-16979.670000	2.515218	0.102762	-1.189940	-4.647132	-4.086519	-3.233195	-2.076187	-1.321576	-3.265640	5.783540	-0.915600	0.897337	-0.187683	0.395568	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.344828	0.000000	-1.000000	-1.000000	2239871.000000	1770065976.992814
-29695.815000	-36433.755000	-28108.170000	-5852.880000	-30064.365000	-15797.070000	2702.835000	-16982.685000	4.137053	0.940266	1.116326	-1.716486	-1.115259	-0.088787	0.461228	1.378420	-3.265640	5.783540	-0.915600	0.897337	-0.187683	0.395568	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.344828	0.000000	-1.000000	-1.000000	2239872.000000	1770065976.992825
-29710.530000	-36453.240000	-28117.260000	-5860.170000	-30071.880000	-15804.630000	2696.760000	-16985.700000	0.848824	0.615785	3.005329	1.620833	1.573103	2.266077	1.627834	1.323236	-3.265640	5.783540	-0.915600	0.897337	-0.187683	0.395568	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.344828	0.000000	-1.000000	-1.000000	2239873.000000	1770065976.996215
-29710.530000	-36453.195000	-28112.445000	-5856.480000	-30067.425000	-15801.255000	2699.550000	-16998.480000	-5.420271	-1.268110	3.015819	3.014306	2.190587	2.150410	0.575764	-1.193334	-3.265640	5.783540	-0.915600	0.897337	-0.187683	0.395568	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.344828	0.000000	-1.000000	-1.000000	2239874.000000	1770065976.996227
-29705.085000	-36437.355000	-28113.480000	-5858.910000	-30069.585000	-15804.945000	2697.930000	-17003.250000	-9.585824	-3.039309	1.568544	2.234382	1.003548	0.160584	-1.406570	-3.886219	-3.265640	5.783540	-0.915600	0.897337	-0.187683	0.395568	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.344828	0.000000	-1.000000	-1.000000	2239875.000000	1770065977.006573
-29704.590000	-36431.955000	-28124.415000	-5874.165000	-30086.190000	-15821.820000	2687.715000	-17005.275000	-8.155157	-2.317693	-0.093272	0.678979	-0.469747	-1.834049	-2.536119	-4.642016	-3.265640	5.783540	-0.915600	0.897337	-0.187683	0.395568	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.344828	0.000000	-1.000000	-1.000000	2239876.000000	1770065977.006584
-29725.965000	-36449.145000	-28130.580000	-5883.075000	-30095.505000	-15829.515000	2685.195000	-17016.120000	-2.925394	0.413998	-1.743426	-0.749371	-1.523875	-2.944230	-2.517409	-3.221467	-3.265640	5.783540	-0.915600	0.897337	-0.187683	0.395568	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.344828	0.000000	-1.000000	-1.000000	2239877.000000	1770065977.006793
-29727.495000	-36456.705000	-28138.050000	-5890.680000	-30102.255000	-15836.220000	2677.365000	-17020.620000	1.571155	2.070501	-3.484037	-1.980967	-2.301254	-3.321162	-2.068180	-0.928201	-3.265640	5.783540	-0.915600	0.897337	-0.187683	0.395568	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.344828	0.000000	-1.000000	-1.000000	2239878.000000	1770065977.006804
-29696.040000	-36445.005000	-28130.355000	-5879.475000	-30091.680000	-15825.780000	2683.260000	-16992.630000	3.769512	1.277662	-4.599480	-2.876288	-2.702149	-3.052991	-1.476380	1.555618	-3.265640	5.783540	-0.915600	0.897337	-0.187683	0.395568	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	72.344828	0.000000	-1.000000	-1.000000	2239879.000000	1770065977.009019
