Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-31605.840000	-42709.140000	-25169.985000	-6792.570000	-34944.120000	-25803.990000	977.985000	-18304.155000	-13.001738	-8.637512	-6.677614	-6.639369	-7.013039	-5.742288	-1.036172	-9.742724	5.371520	1.907500	-0.244160	0.802549	-0.322997	0.458983	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	73.241379	0.000000	-1.000000	-1.000000	2155717.000000	1770065808.604390
-31606.515000	-42689.565000	-25181.730000	-6812.955000	-34958.115000	-25819.020000	983.700000	-18310.635000	-13.820241	-13.632739	-6.652050	-5.409171	-4.718272	-3.433592	-0.226754	-6.285059	5.371520	1.907500	-0.244160	0.802549	-0.322997	0.458983	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	73.241379	0.000000	-1.000000	-1.000000	2155718.000000	1770065808.604401
-31556.115000	-42633.315000	-25176.870000	-6822.090000	-34969.275000	-25829.280000	976.275000	-18313.965000	-9.908484	-12.905200	-4.640316	-2.619382	-1.259572	-0.508345	-0.426403	-1.725749	5.371520	1.907500	-0.244160	0.802549	-0.322997	0.458983	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	73.241379	0.000000	-1.000000	-1.000000	2155719.000000	1770065808.604699
-31538.655000	-42618.465000	-25165.530000	-6808.905000	-34963.245000	-25823.295000	964.755000	-18315.135000	-0.451373	-4.366195	-1.701726	-0.126056	0.950638	1.077255	-1.437929	3.397958	5.371520	1.907500	-0.244160	0.802549	-0.322997	0.458983	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	73.241379	0.000000	-1.000000	-1.000000	2155720.000000	1770065808.604710
-31529.880000	-42641.550000	-25171.830000	-6802.965000	-34962.615000	-25824.105000	951.255000	-18306.585000	12.290311	8.363913	1.191945	0.934388	0.861166	0.747409	-2.160000	8.686819	1.648080	1.876980	0.595140	0.800474	-0.322753	0.460509	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	73.241379	0.000000	-1.000000	-1.000000	2155721.000000	1770065808.608628
-31535.370000	-42656.220000	-25163.415000	-6785.910000	-34944.795000	-25805.925000	958.005000	-18291.555000	22.193493	17.024846	3.025977	0.758099	-0.482723	-0.476731	-1.732941	13.282436	1.648080	1.876980	0.595140	0.800474	-0.322753	0.460509	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	73.241379	0.000000	-1.000000	-1.000000	2155722.000000	1770065808.608638
-31521.330000	-42670.035000	-25163.685000	-6783.120000	-34939.125000	-25801.920000	967.905000	-18262.845000	24.025501	16.178970	3.860482	0.980674	-0.462950	-0.416398	0.066558	15.930998	1.648080	1.876980	0.595140	0.800474	-0.322753	0.460509	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	73.241379	0.000000	-1.000000	-1.000000	2155723.000000	1770065808.612930
-31510.845000	-42659.055000	-25175.430000	-6800.805000	-34957.530000	-25822.800000	961.695000	-18265.230000	16.966889	7.430127	4.185289	2.542348	2.011055	1.663694	2.618623	15.186937	1.648080	1.876980	0.595140	0.800474	-0.322753	0.460509	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	73.241379	0.000000	-1.000000	-1.000000	2155724.000000	1770065808.612941
-31505.040000	-42640.380000	-25171.650000	-6800.220000	-34956.090000	-25819.605000	970.380000	-18255.195000	4.503495	-2.641397	3.487130	3.951961	4.594075	3.588601	4.358305	9.760429	1.648080	1.876980	0.595140	0.800474	-0.322753	0.460509	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	73.241379	0.000000	-1.000000	-1.000000	2155725.000000	1770065808.616589
-31490.730000	-42615.675000	-25164.900000	-6805.665000	-34957.305000	-25820.145000	987.525000	-18244.485000	-7.235975	-7.470016	1.736854	3.721692	4.849188	3.573208	4.277074	0.693297	1.648080	1.876980	0.595140	0.800474	-0.322753	0.460509	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	73.241379	0.000000	-1.000000	-1.000000	2155726.000000	1770065808.616599
