Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-26492.895000	-32319.945000	-30808.080000	-10648.665000	-30148.200000	-16319.070000	733.230000	-13230.945000	-0.257713	0.488756	-2.258117	-2.733579	-3.182024	-3.436515	-3.114304	2.472326	-3.830260	4.074420	-3.097780	0.846494	-0.194885	0.473693	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.862069	0.000000	-1.000000	-1.000000	2290562.000000	1770066078.415863
-26509.725000	-32330.070000	-30809.970000	-10651.410000	-30148.470000	-16319.700000	735.480000	-13249.710000	0.236979	1.651003	1.391161	0.446221	-0.003314	-1.031141	-2.364665	1.954876	-3.830260	4.074420	-3.097780	0.846494	-0.194885	0.473693	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.862069	0.000000	-1.000000	-1.000000	2290563.000000	1770066078.419989
-26509.950000	-32333.265000	-30815.235000	-10660.275000	-30157.740000	-16331.490000	729.315000	-13263.255000	-0.052518	2.456984	5.054896	4.211472	3.983689	2.477376	-0.120880	0.118059	-3.830260	4.074420	-3.097780	0.846494	-0.194885	0.473693	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.862069	0.000000	-1.000000	-1.000000	2290564.000000	1770066078.420000
-26516.880000	-32326.695000	-30809.745000	-10655.460000	-30154.590000	-16329.330000	727.290000	-13275.000000	0.733107	2.130989	6.466260	6.150588	6.294638	4.887062	2.187209	-1.270205	-3.830260	4.074420	-3.097780	0.846494	-0.194885	0.473693	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.862069	0.000000	-1.000000	-1.000000	2290565.000000	1770066078.424042
-26506.395000	-32348.520000	-30826.350000	-10669.140000	-30170.520000	-16342.020000	714.510000	-13263.480000	3.135567	0.957821	4.558717	4.519103	4.905669	4.104590	2.776334	-1.173132	-3.830260	4.074420	-3.097780	0.846494	-0.194885	0.473693	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.862069	0.000000	-1.000000	-1.000000	2290566.000000	1770066078.424051
-26461.935000	-32341.455000	-30830.445000	-10674.540000	-30176.145000	-16343.550000	715.185000	-13225.095000	6.645163	-0.884121	-0.487689	-0.963017	-0.617103	-0.432147	0.969672	1.399711	-3.830260	4.074420	-3.097780	0.846494	-0.194885	0.473693	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.862069	0.000000	-1.000000	-1.000000	2290567.000000	1770066078.430094
-26462.655000	-32317.695000	-30823.245000	-10667.340000	-30168.315000	-16335.315000	720.855000	-13224.015000	10.301843	-2.409350	-6.483890	-7.891835	-7.741607	-6.435267	-1.852245	6.461815	-3.830260	4.074420	-3.097780	0.846494	-0.194885	0.473693	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.862069	0.000000	-1.000000	-1.000000	2290568.000000	1770066078.430104
-26463.645000	-32322.870000	-30825.405000	-10668.555000	-30167.190000	-16332.345000	723.060000	-13230.945000	11.722340	-1.781143	-9.614350	-11.656335	-11.661467	-9.587393	-3.215471	10.858386	-3.830260	4.074420	-3.097780	0.846494	-0.194885	0.473693	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.862069	0.000000	-1.000000	-1.000000	2290569.000000	1770066078.432202
-26463.240000	-32327.325000	-30824.370000	-10668.465000	-30165.750000	-16332.660000	723.780000	-13227.480000	8.535212	0.703306	-7.756203	-9.373504	-9.428926	-7.373776	-2.142726	10.066133	-3.830260	4.074420	-3.097780	0.846494	-0.194885	0.473693	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.862069	0.000000	-1.000000	-1.000000	2290570.000000	1770066078.432212
-26454.510000	-32315.130000	-30813.390000	-10661.220000	-30156.885000	-16326.270000	730.665000	-13216.545000	1.557541	2.735176	-2.114688	-2.269665	-2.291460	-1.151730	0.219509	3.624791	-4.608520	3.830260	-1.678600	0.841062	-0.189392	0.475585	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.862069	0.000000	-1.000000	-1.000000	2290571.000000	1770066078.436094
-26438.040000	-32302.575000	-30802.950000	-10653.705000	-30146.805000	-16316.190000	743.310000	-13201.920000	-5.341726	3.344651	4.601078	6.149026	6.209762	5.874436	2.530469	-3.714920	-4.608520	3.830260	-1.678600	0.841062	-0.189392	0.475585	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.862069	0.000000	-1.000000	-1.000000	2290572.000000	1770066078.436103
-26431.830000	-32294.205000	-30793.140000	-10644.795000	-30137.445000	-16306.965000	746.505000	-13202.145000	-8.619721	3.225230	9.837225	12.473966	12.634720	11.028060	4.271596	-7.017695	-4.608520	3.830260	-1.678600	0.841062	-0.189392	0.475585	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.862069	0.000000	-1.000000	-1.000000	2290573.000000	1770066078.439886
-26445.600000	-32287.320000	-30780.090000	-10628.460000	-30123.450000	-16294.320000	744.840000	-13228.785000	-8.097116	2.771677	11.707004	14.415936	14.635296	12.596437	4.937423	-6.049001	-4.608520	3.830260	-1.678600	0.841062	-0.189392	0.475585	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.862069	0.000000	-1.000000	-1.000000	2290574.000000	1770066078.439897
