Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-44470.440000	-153882.045000	18287.730000	400.140000	2821.680000	7455.960000	4172.220000	6341.580000	-3.886666	-4.174443	-2.331580	-2.047686	-1.898984	-2.647325	-2.904357	-6.272534	-3.631880	4.303320	-1.342880	0.852293	0.277465	0.412719	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.586207	0.000000	-1.000000	-1.000000	797602.000000	1772659483.199757
-44471.880000	-153879.030000	18293.085000	404.955000	2824.560000	7457.220000	4172.445000	6346.980000	-10.608775	-12.643470	-10.677105	-10.115824	-9.490670	-9.765684	-9.462586	-13.160533	-3.631880	4.303320	-1.342880	0.852293	0.277465	0.412719	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.586207	0.000000	-1.000000	-1.000000	797603.000000	1772659483.205606
-44469.855000	-153881.595000	18291.285000	403.470000	2826.405000	7459.920000	4174.425000	6352.560000	-15.667752	-17.599388	-16.101259	-15.519540	-15.024495	-14.812609	-14.036605	-18.600318	-3.631880	4.303320	-1.342880	0.852293	0.277465	0.412719	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.586207	0.000000	-1.000000	-1.000000	797604.000000	1772659483.205615
-44468.730000	-153876.825000	18291.915000	406.665000	2831.940000	7464.420000	4169.835000	6346.170000	-17.246825	-17.491629	-16.830149	-16.445710	-16.356514	-15.656264	-14.157621	-19.791551	-3.631880	4.303320	-1.342880	0.852293	0.277465	0.412719	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.586207	0.000000	-1.000000	-1.000000	797605.000000	1772659483.207740
-44464.320000	-153878.310000	18280.755000	394.245000	2820.195000	7457.400000	4170.285000	6352.155000	-13.759181	-12.085781	-12.456025	-12.248383	-12.332498	-11.236167	-8.999796	-14.947799	-3.631880	4.303320	-1.342880	0.852293	0.277465	0.412719	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.586207	0.000000	-1.000000	-1.000000	797606.000000	1772659483.207748
-44463.915000	-153880.920000	18285.210000	399.510000	2827.530000	7463.520000	4168.215000	6345.405000	-6.502236	-3.940862	-5.263207	-5.042794	-4.846266	-3.452260	-1.018589	-6.218227	-3.631880	4.303320	-1.342880	0.852293	0.277465	0.412719	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.586207	0.000000	-1.000000	-1.000000	797607.000000	1772659483.212051
-44468.460000	-153881.325000	18292.005000	408.240000	2839.635000	7473.240000	4173.570000	6340.860000	1.221654	3.118917	1.467560	1.861628	2.657429	4.184676	5.742540	2.309968	-3.631880	4.303320	-1.342880	0.852293	0.277465	0.412719	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.586207	0.000000	-1.000000	-1.000000	797608.000000	1772659483.212059
-44473.005000	-153894.555000	18276.615000	391.545000	2821.905000	7460.145000	4186.665000	6355.305000	7.233729	7.327135	6.275520	6.813413	8.080330	9.370855	9.282310	8.908319	-3.631880	4.303320	-1.342880	0.852293	0.277465	0.412719	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.586207	0.000000	-1.000000	-1.000000	797609.000000	1772659483.215633
-44477.955000	-153903.285000	18266.265000	381.150000	2811.510000	7449.615000	4182.840000	6354.585000	10.324697	8.420465	8.445754	8.850688	9.972955	10.688212	9.814702	13.256458	-3.631880	4.303320	-1.342880	0.852293	0.277465	0.412719	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.586207	0.000000	-1.000000	-1.000000	797610.000000	1772659483.215638
-44473.410000	-153895.410000	18273.510000	385.020000	2813.220000	7446.645000	4170.960000	6348.060000	9.467239	6.367861	7.165423	7.090704	7.421929	7.431191	7.471882	13.665319	-3.631880	3.891300	-1.571780	0.851194	0.277099	0.413024	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.586207	0.000000	-1.000000	-1.000000	797611.000000	1772659483.219824
-44469.180000	-153882.270000	18290.835000	402.885000	2829.420000	7458.165000	4165.110000	6340.545000	5.453716	2.795597	3.676779	2.953556	2.226090	1.417246	2.437169	8.820854	-3.631880	3.891300	-1.571780	0.851194	0.277099	0.413024	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.586207	0.000000	-1.000000	-1.000000	797612.000000	1772659483.219832
-44467.830000	-153881.865000	18290.745000	401.445000	2829.555000	7463.250000	4178.790000	6351.255000	0.839527	0.407699	0.906021	-0.338367	-2.008575	-3.644791	-3.325370	0.623635	-3.631880	3.891300	-1.571780	0.851194	0.277099	0.413024	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.586207	0.000000	-1.000000	-1.000000	797613.000000	1772659483.229277
-44467.020000	-153882.270000	18291.105000	401.760000	2831.715000	7464.150000	4177.710000	6351.120000	-2.172895	0.256591	0.457903	-0.927493	-3.060352	-5.071328	-6.463379	-6.287129	-3.631880	3.891300	-1.571780	0.851194	0.277099	0.413024	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.586207	0.000000	-1.000000	-1.000000	797614.000000	1772659483.229286
-44469.180000	-153885.915000	18289.395000	402.795000	2836.485000	7470.405000	4182.165000	6356.430000	-3.095801	1.093108	1.491886	0.505583	-1.252854	-2.878730	-5.343749	-8.460757	-3.631880	3.891300	-1.571780	0.851194	0.277099	0.413024	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	79.586207	0.000000	-1.000000	-1.000000	797615.000000	1772659483.229484
