Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-15720.030000	-36369.585000	-2942.460000	3911.265000	-15987.240000	-13265.595000	11687.445000	526.095000	8.778323	11.208569	10.754282	16.361489	12.322423	11.067675	4.840373	1.477534	-3.952340	3.204600	-2.777320	0.920835	0.377440	0.133178	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	65.724138	0.000000	-1.000000	-1.000000	2593151.000000	1772663075.928209
-15720.030000	-36369.585000	-2942.460000	3911.265000	-15987.240000	-13265.595000	11687.445000	526.095000	8.778323	11.208569	10.754282	16.361489	12.322423	11.067675	4.840373	1.477534	-3.952340	3.204600	-2.777320	0.920835	0.377440	0.133178	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	65.724138	0.000000	-1.000000	-1.000000	2593151.000000	1772663075.928209
-15720.030000	-36369.585000	-2942.460000	3911.265000	-15987.240000	-13265.595000	11687.445000	526.095000	8.778323	11.208569	10.754282	16.361489	12.322423	11.067675	4.840373	1.477534	-3.952340	3.204600	-2.777320	0.920835	0.377440	0.133178	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	65.724138	0.000000	-1.000000	-1.000000	2593151.000000	1772663075.928209
-15731.595000	-36384.930000	-2967.615000	3870.585000	-16016.175000	-13289.220000	11679.660000	533.295000	8.956839	12.552426	11.434592	18.160233	15.568773	10.503769	3.980057	1.864425	-3.952340	3.204600	-2.777320	0.920835	0.377440	0.133178	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	65.724138	0.000000	-1.000000	-1.000000	2593152.000000	1772663075.928220
-15731.595000	-36384.930000	-2967.615000	3870.585000	-16016.175000	-13289.220000	11679.660000	533.295000	8.956839	12.552426	11.434592	18.160233	15.568773	10.503769	3.980057	1.864425	-3.952340	3.204600	-2.777320	0.920835	0.377440	0.133178	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	65.724138	0.000000	-1.000000	-1.000000	2593152.000000	1772663075.928220
-15731.595000	-36384.930000	-2967.615000	3870.585000	-16016.175000	-13289.220000	11679.660000	533.295000	8.956839	12.552426	11.434592	18.160233	15.568773	10.503769	3.980057	1.864425	-3.952340	3.204600	-2.777320	0.920835	0.377440	0.133178	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	65.724138	0.000000	-1.000000	-1.000000	2593152.000000	1772663075.928220
-15717.555000	-36373.500000	-2948.760000	3887.595000	-15999.165000	-13271.625000	11686.950000	553.230000	4.660859	7.709373	6.066168	9.747281	8.916645	3.905330	0.763522	-0.501925	-3.952340	3.204600	-2.777320	0.920835	0.377440	0.133178	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	65.724138	0.000000	-1.000000	-1.000000	2593153.000000	1772663075.928232
-15717.555000	-36373.500000	-2948.760000	3887.595000	-15999.165000	-13271.625000	11686.950000	553.230000	4.660859	7.709373	6.066168	9.747281	8.916645	3.905330	0.763522	-0.501925	-3.952340	3.204600	-2.777320	0.920835	0.377440	0.133178	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	65.724138	0.000000	-1.000000	-1.000000	2593153.000000	1772663075.928232
-15717.555000	-36373.500000	-2948.760000	3887.595000	-15999.165000	-13271.625000	11686.950000	553.230000	4.660859	7.709373	6.066168	9.747281	8.916645	3.905330	0.763522	-0.501925	-3.952340	3.204600	-2.777320	0.920835	0.377440	0.133178	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	65.724138	0.000000	-1.000000	-1.000000	2593153.000000	1772663075.928232
-15697.440000	-36351.315000	-2915.955000	3932.910000	-15968.025000	-13246.740000	11685.105000	549.360000	-0.308466	0.637085	-0.455627	-1.347973	-0.616004	-3.361708	-2.336931	-1.508728	-3.952340	3.204600	-2.777320	0.920835	0.377440	0.133178	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	65.724138	0.000000	-1.000000	-1.000000	2593154.000000	1772663075.928236
-15697.440000	-36351.315000	-2915.955000	3932.910000	-15968.025000	-13246.740000	11685.105000	549.360000	-0.308466	0.637085	-0.455627	-1.347973	-0.616004	-3.361708	-2.336931	-1.508728	-3.952340	3.204600	-2.777320	0.920835	0.377440	0.133178	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	65.724138	0.000000	-1.000000	-1.000000	2593154.000000	1772663075.928236
