Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-6220.800000	20645.190000	31015.485000	-4152.060000	-26518.725000	11028.510000	-17473.320000	-27943.920000	13.536187	24.308544	24.814409	18.485121	4.530209	11.013142	7.190202	-3.827580	-0.488320	5.920880	-1.526000	0.748838	0.616026	0.198791	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	313103.000000	1773688183.176481
-6225.435000	20639.745000	31015.890000	-4147.605000	-26525.295000	11030.850000	-17472.915000	-27902.070000	3.510238	9.753904	6.679393	5.959444	-3.107029	-0.264891	1.008656	-13.838966	-0.488320	5.920880	-1.526000	0.748838	0.616026	0.198791	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	313104.000000	1773688183.176497
-6214.905000	20644.695000	31021.020000	-4129.020000	-26522.910000	11045.475000	-17462.790000	-27885.420000	-8.787527	-5.926253	-10.416632	-6.444535	-6.924454	-8.359721	-2.947318	-21.262078	-0.488320	5.920880	-1.526000	0.748838	0.616026	0.198791	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	313105.000000	1773688183.181794
-6197.670000	20663.370000	31039.425000	-4112.640000	-26554.185000	11050.065000	-17451.720000	-27888.120000	-14.440225	-12.860482	-16.235931	-11.553722	-10.522908	-9.020798	-2.585497	-18.325860	-0.488320	5.920880	-1.526000	0.748838	0.616026	0.198791	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	313106.000000	1773688183.181806
-6188.220000	20667.060000	31026.105000	-4117.365000	-26558.865000	11043.180000	-17452.890000	-27869.085000	-10.489147	-9.855421	-11.382450	-8.767107	-15.307643	-4.427388	1.045952	-5.486230	-0.488320	5.920880	-1.526000	0.748838	0.616026	0.198791	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	313107.000000	1773688183.184480
-6202.035000	20651.670000	30999.690000	-4131.900000	-26504.370000	11040.930000	-17476.155000	-27878.265000	-1.758713	-3.624716	-4.892565	-3.450661	-17.080397	-0.109322	4.075247	10.672354	-0.488320	5.920880	-1.526000	0.748838	0.616026	0.198791	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	313108.000000	1773688183.184512
-6209.190000	20650.680000	31035.420000	-4124.655000	-26459.775000	11049.975000	-17501.445000	-27907.380000	4.673775	-0.958516	-3.255223	-1.077950	-9.977665	0.960821	2.731279	22.083684	-0.488320	5.920880	-1.526000	0.748838	0.616026	0.198791	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	313109.000000	1773688183.194097
-6198.840000	20668.680000	31066.380000	-4110.165000	-26471.655000	11053.845000	-17480.970000	-27931.770000	5.779672	-2.614261	-4.036302	-2.291625	5.566148	-0.007272	-2.942594	22.294018	-0.488320	5.920880	-1.526000	0.748838	0.616026	0.198791	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	313110.000000	1773688183.194111
-6200.955000	20666.160000	31048.020000	-4112.775000	-26492.265000	11048.535000	-17445.420000	-27900.540000	3.825905	-4.326596	-1.648545	-3.141736	21.280548	-0.439199	-7.770213	11.767015	-2.350040	5.112100	-1.999060	0.746519	0.617979	0.198303	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	313111.000000	1773688183.194125
-6198.030000	20667.060000	31045.140000	-4114.935000	-26493.300000	11055.735000	-17444.880000	-27891.900000	2.032933	-2.619885	4.217138	-0.224739	28.202446	0.908124	-6.335015	-1.881508	-2.350040	5.112100	-1.999060	0.746519	0.617979	0.198303	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	76.827586	0.000000	-1.000000	-1.000000	313112.000000	1773688183.194130
