Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-15706.890000	-46057.905000	-5934.375000	1286.055000	-17263.935000	-8953.245000	9121.455000	7523.370000	-5.152752	-6.558902	-7.073872	-7.807404	-7.272414	-7.890670	1.376685	-3.194580	-7.599480	2.990960	-1.831200	0.939939	0.252563	0.224670	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.172414	0.000000	-1.000000	-1.000000	2428826.000000	1772662747.139284
-15706.890000	-46057.905000	-5934.375000	1286.055000	-17263.935000	-8953.245000	9121.455000	7523.370000	-5.152752	-6.558902	-7.073872	-7.807404	-7.272414	-7.890670	1.376685	-3.194580	-7.599480	2.990960	-1.831200	0.939939	0.252563	0.224670	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.172414	0.000000	-1.000000	-1.000000	2428826.000000	1772662747.139284
-15706.890000	-46057.905000	-5934.375000	1286.055000	-17263.935000	-8953.245000	9121.455000	7523.370000	-5.152752	-6.558902	-7.073872	-7.807404	-7.272414	-7.890670	1.376685	-3.194580	-7.599480	2.990960	-1.831200	0.939939	0.252563	0.224670	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.172414	0.000000	-1.000000	-1.000000	2428826.000000	1772662747.139284
-15697.395000	-46042.965000	-5921.010000	1295.235000	-17258.220000	-8929.125000	9119.565000	7551.180000	-2.252595	-3.384682	-4.851146	-4.002801	-3.916461	-5.696752	3.966987	-10.706489	-7.599480	2.990960	-1.831200	0.939939	0.252563	0.224670	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.172414	0.000000	-1.000000	-1.000000	2428827.000000	1772662747.140534
-15697.395000	-46042.965000	-5921.010000	1295.235000	-17258.220000	-8929.125000	9119.565000	7551.180000	-2.252595	-3.384682	-4.851146	-4.002801	-3.916461	-5.696752	3.966987	-10.706489	-7.599480	2.990960	-1.831200	0.939939	0.252563	0.224670	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.172414	0.000000	-1.000000	-1.000000	2428827.000000	1772662747.140534
-15697.395000	-46042.965000	-5921.010000	1295.235000	-17258.220000	-8929.125000	9119.565000	7551.180000	-2.252595	-3.384682	-4.851146	-4.002801	-3.916461	-5.696752	3.966987	-10.706489	-7.599480	2.990960	-1.831200	0.939939	0.252563	0.224670	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.172414	0.000000	-1.000000	-1.000000	2428827.000000	1772662747.140534
-15692.445000	-46033.920000	-5915.340000	1300.050000	-17254.215000	-8918.505000	9106.020000	7551.495000	2.220431	3.052916	1.492778	3.040551	2.295776	0.625592	4.120261	-13.340066	-7.599480	2.990960	-1.831200	0.939939	0.252563	0.224670	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.172414	0.000000	-1.000000	-1.000000	2428828.000000	1772662747.140540
-15692.445000	-46033.920000	-5915.340000	1300.050000	-17254.215000	-8918.505000	9106.020000	7551.495000	2.220431	3.052916	1.492778	3.040551	2.295776	0.625592	4.120261	-13.340066	-7.599480	2.990960	-1.831200	0.939939	0.252563	0.224670	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.172414	0.000000	-1.000000	-1.000000	2428828.000000	1772662747.140540
-15692.445000	-46033.920000	-5915.340000	1300.050000	-17254.215000	-8918.505000	9106.020000	7551.495000	2.220431	3.052916	1.492778	3.040551	2.295776	0.625592	4.120261	-13.340066	-7.599480	2.990960	-1.831200	0.939939	0.252563	0.224670	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.172414	0.000000	-1.000000	-1.000000	2428828.000000	1772662747.140540
-15688.215000	-46035.135000	-5922.540000	1299.465000	-17254.530000	-8913.735000	9091.170000	7545.960000	6.458067	9.345516	8.399747	9.583919	8.285388	9.292896	1.274817	-8.352490	-7.599480	2.990960	-1.831200	0.939939	0.252563	0.224670	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.172414	0.000000	-1.000000	-1.000000	2428829.000000	1772662747.145370
-15688.215000	-46035.135000	-5922.540000	1299.465000	-17254.530000	-8913.735000	9091.170000	7545.960000	6.458067	9.345516	8.399747	9.583919	8.285388	9.292896	1.274817	-8.352490	-7.599480	2.990960	-1.831200	0.939939	0.252563	0.224670	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.172414	0.000000	-1.000000	-1.000000	2428829.000000	1772662747.145370
