Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-21923.775000	-23134.590000	-9457.470000	-7572.510000	-20152.530000	-18036.315000	377487.315000	-1467.855000	-1.425430	-7.258178	-24.988421	-8.974814	-1.096326	1.119807	-0.000000	5.796322	-10.575180	-10.941420	-2.533160	0.880613	-0.209960	0.403991	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	55.172414	0.000000	-1.000000	-1.000000	1795752.000000	1772740989.982250
-21951.540000	-23149.575000	-9456.795000	-7576.560000	-20155.590000	-18025.110000	377487.315000	-1475.415000	-4.205463	-14.921886	-30.705194	-14.919740	-9.633541	-6.778423	-0.000000	11.335576	-10.575180	-10.941420	-2.533160	0.880613	-0.209960	0.403991	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	55.172414	0.000000	-1.000000	-1.000000	1795753.000000	1772740989.986129
-21927.285000	-23109.345000	-9417.015000	-7536.105000	-20109.240000	-17976.420000	377487.315000	-1416.600000	-12.610314	-27.167286	-33.222897	-20.333101	-19.726763	-16.071571	-0.000000	12.607743	-10.575180	-10.941420	-2.533160	0.880613	-0.209960	0.403991	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	55.172414	0.000000	-1.000000	-1.000000	1795754.000000	1772740989.986140
-21886.065000	-23080.770000	-9400.410000	-7528.860000	-20095.695000	-17959.320000	377487.315000	-1369.665000	-18.522230	-31.668819	-30.032156	-22.079663	-24.895192	-20.893905	-0.000000	14.614330	-10.575180	-10.941420	-2.533160	0.880613	-0.209960	0.403991	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	55.172414	0.000000	-1.000000	-1.000000	1795755.000000	1772740989.990726
-21899.070000	-23091.930000	-9425.925000	-7557.165000	-20126.430000	-17995.905000	377487.315000	-1416.510000	-13.235510	-20.212000	-17.200486	-16.660800	-20.210191	-17.251622	0.000000	19.052181	-10.575180	-10.941420	-2.533160	0.880613	-0.209960	0.403991	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	55.172414	0.000000	-1.000000	-1.000000	1795756.000000	1772740989.990739
-21912.975000	-23106.420000	-9435.420000	-7561.980000	-20136.870000	-18017.055000	377487.315000	-1474.695000	0.344977	1.608153	2.678335	-5.542127	-8.012899	-7.375325	0.000000	17.857604	-10.575180	-10.941420	-2.533160	0.880613	-0.209960	0.403991	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	55.172414	0.000000	-1.000000	-1.000000	1795757.000000	1772740989.997697
-21870.180000	-23085.495000	-9404.235000	-7542.225000	-20127.240000	-18024.210000	377487.315000	-1454.760000	12.251374	21.209483	21.320004	7.106606	5.810956	3.654362	0.000000	4.063787	-10.575180	-10.941420	-2.533160	0.880613	-0.209960	0.403991	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	55.172414	0.000000	-1.000000	-1.000000	1795758.000000	1772740989.997707
-21893.805000	-23108.670000	-9440.145000	-7579.305000	-20157.840000	-18051.525000	377487.315000	-1396.080000	17.248821	29.639833	31.725049	17.373161	16.226828	11.889987	0.000000	-14.551369	-10.575180	-10.941420	-2.533160	0.880613	-0.209960	0.403991	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	55.172414	0.000000	-1.000000	-1.000000	1795759.000000	1772740989.998095
-21931.830000	-23116.725000	-9448.515000	-7579.215000	-20150.955000	-18035.370000	377487.315000	-1472.175000	15.550355	25.243385	31.202799	20.980180	19.556490	14.862834	-0.000000	-23.125385	-10.575180	-10.941420	-2.533160	0.880613	-0.209960	0.403991	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	55.172414	0.000000	-1.000000	-1.000000	1795760.000000	1772740989.998105
-21980.880000	-23106.195000	-9428.085000	-7553.385000	-20126.205000	-18008.820000	377487.315000	-1603.485000	8.066173	13.355343	21.735124	16.359968	15.860376	12.844229	-0.000000	-18.863576	-6.897520	-10.590440	-2.487380	0.871336	-0.215026	0.398009	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	55.172414	0.000000	-1.000000	-1.000000	1795761.000000	1772740990.002007
