Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
7079.355000	-24187.770000	-9687.555000	-4551.660000	-9661.500000	-7262.865000	377487.315000	20173.905000	-4.453101	-1.007792	12.551766	7.583489	5.173508	3.789166	0.000000	-0.249111	-85.318660	-5.814060	-7.797860	0.915769	0.042786	0.318786	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	64.482759	0.000000	-1.000000	-1.000000	533794.000000	1772738465.069129
7069.680000	-24184.305000	-9685.215000	-4552.290000	-9663.660000	-7272.675000	377487.315000	20155.860000	-0.316477	-5.012222	7.063667	2.846807	1.855106	1.437614	0.000000	7.440366	-85.318660	-5.814060	-7.797860	0.915769	0.042786	0.318786	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	64.482759	0.000000	-1.000000	-1.000000	533795.000000	1772738465.071792
7107.975000	-24157.890000	-9680.445000	-4562.505000	-9678.555000	-7300.620000	377487.315000	20191.185000	3.930013	-5.292768	0.373577	-2.358538	-1.944878	-1.460456	0.000000	11.811415	-85.318660	-5.814060	-7.797860	0.915769	0.042786	0.318786	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	64.482759	0.000000	-1.000000	-1.000000	533796.000000	1772738465.071798
7145.820000	-24109.965000	-9633.780000	-4519.260000	-9635.985000	-7278.435000	377487.315000	20197.125000	5.192181	-2.474396	-5.605571	-5.925689	-4.510650	-3.565100	0.000000	9.098125	-85.318660	-5.814060	-7.797860	0.915769	0.042786	0.318786	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	64.482759	0.000000	-1.000000	-1.000000	533797.000000	1772738465.075756
7149.420000	-24129.405000	-9656.190000	-4534.245000	-9647.235000	-7300.845000	377487.315000	20140.605000	4.750640	2.100356	-7.999483	-5.288643	-3.457973	-2.711906	0.000000	0.961194	-85.318660	-5.814060	-7.797860	0.915769	0.042786	0.318786	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	64.482759	0.000000	-1.000000	-1.000000	533798.000000	1772738465.075764
7080.120000	-24222.555000	-9760.995000	-4634.145000	-9746.235000	-7384.590000	377487.315000	20125.935000	2.627062	3.776245	-7.659469	-2.221123	-0.498348	-0.111907	0.000000	-9.435192	-85.318660	-5.814060	-7.797860	0.915769	0.042786	0.318786	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	64.482759	0.000000	-1.000000	-1.000000	533799.000000	1772738465.090621
7080.885000	-24206.130000	-9731.160000	-4604.400000	-9717.795000	-7347.825000	377487.315000	20177.550000	-3.317886	-2.159007	-9.232006	-2.646309	-1.421712	-0.658302	0.000000	-16.578206	-85.318660	-5.814060	-7.797860	0.915769	0.042786	0.318786	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	64.482759	0.000000	-1.000000	-1.000000	533800.000000	1772738465.090631
7092.765000	-24174.855000	-9691.515000	-4565.925000	-9681.165000	-7301.205000	377487.315000	20203.785000	-11.515053	-11.643394	-11.651353	-6.356981	-5.915549	-4.285477	-0.000000	-14.453547	-78.695820	-3.860780	-11.094020	0.935972	0.020569	0.315612	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	64.482759	0.000000	-1.000000	-1.000000	533801.000000	1772738465.090642
7094.835000	-24180.030000	-9691.470000	-4578.615000	-9692.145000	-7296.525000	377487.315000	20179.395000	-16.294585	-14.692566	-8.448058	-6.790607	-7.257266	-5.451990	-0.000000	-4.412666	-78.695820	-3.860780	-11.094020	0.935972	0.020569	0.315612	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	64.482759	0.000000	-1.000000	-1.000000	533802.000000	1772738465.090646
7071.300000	-24200.415000	-9697.770000	-4591.620000	-9696.555000	-7293.645000	377487.315000	20172.375000	-13.589107	-7.567822	1.334395	-2.005821	-3.128003	-2.274774	-0.000000	5.660832	-78.695820	-3.860780	-11.094020	0.935972	0.020569	0.315612	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	64.482759	0.000000	-1.000000	-1.000000	533803.000000	1772738465.090650
7088.445000	-24172.650000	-9692.190000	-4564.395000	-9667.935000	-7279.830000	377487.315000	20169.720000	-4.451969	4.322032	11.401660	4.247206	3.314593	2.785920	-0.000000	10.173876	-78.695820	-3.860780	-11.094020	0.935972	0.020569	0.315612	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	64.482759	0.000000	-1.000000	-1.000000	533804.000000	1772738465.090654
7124.895000	-24147.720000	-9681.795000	-4521.465000	-9637.740000	-7270.245000	377487.315000	20173.770000	6.097371	13.434487	15.398467	9.419323	9.491135	7.904782	-0.000000	8.214114	-78.695820	-3.860780	-11.094020	0.935972	0.020569	0.315612	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	64.482759	0.000000	-1.000000	-1.000000	533805.000000	1772738465.091823
