Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-12713.985000	-13796.640000	4478.535000	-2812.095000	-22205.565000	-15669.990000	967.185000	-10454.895000	12.876358	11.531475	9.893561	12.092775	17.998799	9.674330	7.400895	7.819869	-3.219860	4.562740	-2.807840	0.726622	-0.047485	0.655333	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.000000	0.000000	-1.000000	-1.000000	1273364.000000	1772896258.741361
-12704.850000	-13808.655000	4468.860000	-2819.250000	-22214.790000	-15679.395000	955.980000	-10452.960000	17.781977	11.331928	5.621704	8.328149	10.133154	3.595051	-0.118343	10.207239	-3.219860	4.562740	-2.807840	0.726622	-0.047485	0.655333	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.000000	0.000000	-1.000000	-1.000000	1273365.000000	1772896258.751476
-12713.400000	-13815.090000	4467.330000	-2824.380000	-22231.260000	-15684.480000	956.880000	-10449.540000	19.255392	10.188786	1.789477	4.330437	3.764010	-1.279815	-5.389364	13.262261	-3.219860	4.562740	-2.807840	0.726622	-0.047485	0.655333	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.000000	0.000000	-1.000000	-1.000000	1273366.000000	1772896258.751484
-12709.395000	-13803.705000	4483.575000	-2808.675000	-22219.155000	-15685.560000	982.665000	-10428.390000	13.901107	5.586307	-2.572226	-1.041564	-3.294978	-5.967998	-8.653801	12.472741	-3.219860	4.562740	-2.807840	0.726622	-0.047485	0.655333	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.000000	0.000000	-1.000000	-1.000000	1273367.000000	1772896258.751493
-12739.995000	-13839.435000	4451.220000	-2827.890000	-22213.530000	-15681.690000	979.830000	-10454.850000	2.324338	-2.818213	-7.408528	-7.302022	-11.694495	-10.282936	-9.339753	6.639133	-3.219860	4.562740	-2.807840	0.726622	-0.047485	0.655333	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.000000	0.000000	-1.000000	-1.000000	1273368.000000	1772896258.751497
-12779.505000	-13862.205000	4430.475000	-2849.490000	-22245.210000	-15700.185000	942.345000	-10492.605000	-10.991671	-12.684260	-11.689467	-12.451894	-18.790351	-12.408064	-7.746387	-2.587636	-3.219860	4.562740	-2.807840	0.726622	-0.047485	0.655333	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.000000	0.000000	-1.000000	-1.000000	1273369.000000	1772896258.751912
-12791.340000	-13851.180000	4439.295000	-2847.015000	-22258.530000	-15703.065000	940.455000	-10495.665000	-21.054820	-19.618137	-13.622267	-14.263672	-21.459773	-10.892233	-5.819130	-12.400215	-3.219860	4.562740	-2.807840	0.726622	-0.047485	0.655333	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.000000	0.000000	-1.000000	-1.000000	1273370.000000	1772896258.751920
-12778.020000	-13853.250000	4438.755000	-2843.055000	-22232.385000	-15705.000000	929.160000	-10500.255000	-23.880534	-19.220577	-10.910752	-10.849612	-17.087635	-5.800608	-4.232785	-18.764931	0.076300	5.142620	-2.121140	0.725645	-0.048340	0.654967	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.000000	0.000000	-1.000000	-1.000000	1273371.000000	1772896258.755807
-12708.765000	-13816.170000	4473.720000	-2808.945000	-22196.565000	-15680.295000	946.215000	-10477.170000	-17.032263	-10.813173	-3.175000	-2.276196	-4.488899	1.522401	-1.808179	-18.607085	0.076300	5.142620	-2.121140	0.725645	-0.048340	0.654967	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.000000	0.000000	-1.000000	-1.000000	1273372.000000	1772896258.755814
-12683.295000	-13802.355000	4492.305000	-2790.720000	-22190.760000	-15665.805000	980.595000	-10449.900000	-1.668587	2.071619	7.142095	8.585214	12.655557	9.266755	2.821214	-11.881594	0.076300	5.142620	-2.121140	0.725645	-0.048340	0.654967	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	80.000000	0.000000	-1.000000	-1.000000	1273373.000000	1772896258.763959
