Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
3569.400000	-11550.555000	10052.325000	5355.855000	-19262.205000	-16051.545000	-1984.770000	-103.275000	-4.663458	7.239715	9.861501	11.931366	11.807542	9.526816	7.590022	-6.340749	-7.141680	3.540320	-3.784480	0.812620	-0.034363	0.534300	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.551724	0.000000	-1.000000	-1.000000	414541.000000	1772894540.760036
3572.010000	-11546.775000	10057.950000	5359.635000	-19260.810000	-16054.965000	-1995.390000	-135.045000	-3.609917	1.509826	8.824694	12.848400	13.754039	11.896508	11.712267	0.753174	-7.141680	3.540320	-3.784480	0.812620	-0.034363	0.534300	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.551724	0.000000	-1.000000	-1.000000	414542.000000	1772894540.760043
3585.645000	-11543.355000	10071.855000	5376.870000	-19242.630000	-16036.155000	-1985.220000	-151.740000	0.185700	-2.726710	6.412572	10.429252	11.799097	10.778631	11.165192	5.772908	-7.141680	3.540320	-3.784480	0.812620	-0.034363	0.534300	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.551724	0.000000	-1.000000	-1.000000	414543.000000	1772894540.764563
3611.430000	-11533.680000	10075.635000	5377.950000	-19243.530000	-16033.230000	-1979.325000	-138.105000	3.506896	-4.266109	3.643273	6.156153	7.239479	7.604698	6.642595	4.346056	-7.141680	3.540320	-3.784480	0.812620	-0.034363	0.534300	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.551724	0.000000	-1.000000	-1.000000	414544.000000	1772894540.764571
3584.520000	-11512.485000	10086.705000	5385.645000	-19237.275000	-16028.055000	-1975.365000	-113.355000	4.301207	-4.075844	0.435157	1.012443	1.391155	3.489794	1.276529	-0.376300	-7.141680	3.540320	-3.784480	0.812620	-0.034363	0.534300	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.551724	0.000000	-1.000000	-1.000000	414545.000000	1772894540.767817
3535.425000	-11562.570000	10037.610000	5338.890000	-19279.440000	-16069.500000	-2016.945000	-106.605000	0.733693	-4.032861	-3.872481	-4.789822	-5.047061	-1.479883	-2.745239	-2.143601	-7.141680	3.540320	-3.784480	0.812620	-0.034363	0.534300	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.551724	0.000000	-1.000000	-1.000000	414546.000000	1772894540.767824
3534.480000	-11584.575000	10012.185000	5313.195000	-19304.640000	-16092.405000	-2033.865000	-112.320000	-7.190192	-5.855782	-9.713289	-11.357768	-11.903795	-7.991405	-6.660988	0.404218	-7.141680	3.540320	-3.784480	0.812620	-0.034363	0.534300	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.551724	0.000000	-1.000000	-1.000000	414547.000000	1772894540.771900
3525.795000	-11566.350000	10037.070000	5339.880000	-19277.460000	-16065.000000	-2020.095000	-144.090000	-14.792646	-8.707627	-15.111004	-16.885609	-17.516970	-14.824042	-11.726794	2.676946	-7.141680	3.540320	-3.784480	0.812620	-0.034363	0.534300	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.551724	0.000000	-1.000000	-1.000000	414548.000000	1772894540.771906
3528.180000	-11550.105000	10060.290000	5365.665000	-19250.865000	-16038.900000	-2003.580000	-145.080000	-15.968650	-8.303687	-14.831233	-16.287333	-16.966952	-16.643753	-14.856507	-0.103860	-7.141680	3.540320	-3.784480	0.812620	-0.034363	0.534300	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.551724	0.000000	-1.000000	-1.000000	414549.000000	1772894540.775985
3545.280000	-11549.340000	10056.870000	5358.510000	-19260.270000	-16045.470000	-1994.220000	-134.370000	-8.847747	-1.869046	-5.894423	-6.590075	-7.157502	-9.163320	-11.271233	-6.694027	-7.141680	3.540320	-3.784480	0.812620	-0.034363	0.534300	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.551724	0.000000	-1.000000	-1.000000	414550.000000	1772894540.775993
3567.960000	-11549.970000	10052.235000	5353.830000	-19268.190000	-16060.725000	-2000.025000	-116.550000	3.387534	7.644208	7.269092	7.452439	7.185446	4.104163	-0.732529	-10.122904	-7.263760	4.486440	-3.662400	0.817015	-0.034424	0.535460	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	86.551724	0.000000	-1.000000	-1.000000	414551.000000	1772894540.779898
