Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-2075.760000	10656.945000	16521.795000	4729.410000	-22391.235000	1794.195000	-8084.340000	-5266.620000	-2.626292	0.913685	-5.874168	1.840682	-0.974530	-2.053033	2.527893	-1.276774	-4.043900	5.218920	-4.715340	0.921140	-0.264892	0.288635	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.310345	0.000000	-1.000000	-1.000000	1062370.000000	1773689681.507945
-2091.015000	10628.910000	16499.970000	4718.160000	-22394.565000	1808.415000	-8079.525000	-5264.145000	1.068590	-7.377710	-18.204349	-6.525396	-8.809146	-10.376964	2.223440	7.826195	-2.472120	5.676720	-2.914660	0.920164	-0.266906	0.290343	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.310345	0.000000	-1.000000	-1.000000	1062371.000000	1773689681.511523
-2088.945000	10631.880000	16505.370000	4724.145000	-22389.120000	1816.605000	-8081.730000	-5264.370000	3.479552	-12.880135	-23.154900	-11.898471	-11.574192	-11.054689	0.762776	14.665040	-2.472120	5.676720	-2.914660	0.920164	-0.266906	0.290343	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.310345	0.000000	-1.000000	-1.000000	1062372.000000	1773689681.511534
-2080.755000	10646.370000	16509.420000	4739.175000	-22365.180000	1836.045000	-8075.295000	-5262.705000	2.814295	-15.221098	-21.634481	-12.782584	-8.275361	-3.612523	-0.222371	15.234517	-2.472120	5.676720	-2.914660	0.920164	-0.266906	0.290343	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.310345	0.000000	-1.000000	-1.000000	1062373.000000	1773689681.515346
-2078.100000	10650.915000	16502.580000	4735.035000	-22380.570000	1816.920000	-8068.995000	-5261.985000	0.371727	-13.211687	-15.361383	-9.273886	-1.222898	6.249009	0.131705	9.488128	-2.472120	5.676720	-2.914660	0.920164	-0.266906	0.290343	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.310345	0.000000	-1.000000	-1.000000	1062374.000000	1773689681.515358
-2087.370000	10642.320000	16508.970000	4730.625000	-22390.425000	1804.905000	-8079.255000	-5271.120000	-1.820113	-7.022612	-5.825868	-3.420185	4.820907	11.042980	1.212443	1.043449	-2.472120	5.676720	-2.914660	0.920164	-0.266906	0.290343	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.310345	0.000000	-1.000000	-1.000000	1062375.000000	1773689681.527045
-2087.505000	10637.730000	16506.630000	4723.470000	-22391.145000	1807.245000	-8081.235000	-5271.075000	-2.654197	0.681529	4.999817	2.023886	6.464577	8.323503	1.370393	-6.348933	-2.472120	5.676720	-2.914660	0.920164	-0.266906	0.290343	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.310345	0.000000	-1.000000	-1.000000	1062376.000000	1773689681.527138
-2082.060000	10641.510000	16518.195000	4726.710000	-22388.895000	1807.875000	-8075.025000	-5265.900000	-1.933602	6.828257	14.165991	5.489050	4.405338	1.973525	-0.020618	-10.594473	-2.472120	5.676720	-2.914660	0.920164	-0.266906	0.290343	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.310345	0.000000	-1.000000	-1.000000	1062377.000000	1773689681.527178
-2093.715000	10638.135000	16516.935000	4723.560000	-22396.095000	1798.920000	-8079.570000	-5281.470000	-0.653087	9.962780	18.892943	6.837067	1.284813	-3.290743	-1.740390	-11.230003	-2.472120	5.676720	-2.914660	0.920164	-0.266906	0.290343	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.310345	0.000000	-1.000000	-1.000000	1062378.000000	1773689681.527199
-2096.145000	10649.160000	16521.120000	4728.375000	-22392.315000	1800.495000	-8086.590000	-5289.885000	-0.011860	10.499120	18.152485	6.600488	-0.948503	-5.635268	-2.593159	-9.207795	-2.472120	5.676720	-2.914660	0.920164	-0.266906	0.290343	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.310345	0.000000	-1.000000	-1.000000	1062379.000000	1773689681.528228
-2093.355000	10663.560000	16532.325000	4738.005000	-22385.430000	1808.820000	-8088.120000	-5291.910000	0.245795	9.876583	13.013332	5.560112	-1.323913	-5.138292	-2.559825	-5.744818	-2.472120	5.676720	-2.914660	0.920164	-0.266906	0.290343	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.310345	0.000000	-1.000000	-1.000000	1062380.000000	1773689681.528238
-2102.355000	10652.895000	16527.015000	4743.900000	-22369.275000	1837.710000	-8070.480000	-5305.185000	0.814939	8.324768	5.227291	4.070923	0.037150	-2.392367	-1.654079	-1.681550	-2.670500	5.035800	-1.892240	0.920530	-0.267822	0.292968	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.310345	0.000000	-1.000000	-1.000000	1062381.000000	1773689681.531903
-2077.560000	10658.835000	16530.930000	4751.820000	-22356.855000	1854.000000	-8061.525000	-5304.915000	1.541675	4.210791	-3.659757	1.765742	1.910217	1.669083	0.519429	2.147474	-2.670500	5.035800	-1.892240	0.920530	-0.267822	0.292968	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.310345	0.000000	-1.000000	-1.000000	1062382.000000	1773689681.531916
-2071.800000	10646.145000	16500.060000	4725.585000	-22384.935000	1820.610000	-8072.910000	-5268.690000	2.417337	-2.776241	-11.583325	-1.592313	2.711488	5.094460	3.239934	5.728159	-2.670500	5.035800	-1.892240	0.920530	-0.267822	0.292968	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.310345	0.000000	-1.000000	-1.000000	1062383.000000	1773689681.535737
-2094.165000	10622.655000	16479.225000	4706.010000	-22402.260000	1797.435000	-8086.770000	-5257.755000	3.319921	-10.128322	-16.603857	-5.640592	1.146099	5.082029	4.378964	9.846283	-2.670500	5.035800	-1.892240	0.920530	-0.267822	0.292968	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.310345	0.000000	-1.000000	-1.000000	1062384.000000	1773689681.535748
-2095.470000	10630.665000	16496.820000	4706.055000	-22405.140000	1792.845000	-8088.120000	-5250.915000	2.924619	-14.483269	-17.311977	-9.018366	-2.634287	0.660291	2.593294	13.409371	-2.670500	5.035800	-1.892240	0.920530	-0.267822	0.292968	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.310345	0.000000	-1.000000	-1.000000	1062385.000000	1773689681.539451
-2105.145000	10628.730000	16497.315000	4701.690000	-22404.015000	1795.635000	-8091.720000	-5264.055000	0.243774	-13.410816	-12.452914	-9.515722	-6.286217	-5.352916	-1.109508	13.049628	-2.670500	5.035800	-1.892240	0.920530	-0.267822	0.292968	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	71.310345	0.000000	-1.000000	-1.000000	1062386.000000	1773689681.539458
