Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
6120.495000	14674.815000	22391.055000	9798.840000	-14856.255000	6290.505000	-2427.705000	464.400000	5.633273	5.939870	11.576710	-0.002015	-1.852893	1.154485	-2.724369	-0.367056	-2.517900	4.440660	-5.478340	0.876096	-0.418822	0.235656	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	68.551724	0.000000	-1.000000	-1.000000	1427597.000000	1773690412.136950
6111.315000	14677.245000	22408.425000	9804.555000	-14861.790000	6286.185000	-2428.920000	454.005000	2.312132	0.066627	0.131575	-3.190053	-3.691672	-2.124435	-2.545494	3.661277	-2.517900	4.440660	-5.478340	0.876096	-0.418822	0.235656	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	68.551724	0.000000	-1.000000	-1.000000	1427598.000000	1773690412.136963
6119.010000	14696.685000	22436.820000	9827.865000	-14849.640000	6294.960000	-2424.960000	456.390000	-0.205046	-4.461754	-9.434932	-4.192134	-3.106347	-2.973957	-1.959405	5.162396	-2.517900	4.440660	-5.478340	0.876096	-0.418822	0.235656	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	68.551724	0.000000	-1.000000	-1.000000	1427599.000000	1773690412.140987
6127.605000	14689.710000	22422.195000	9821.385000	-14844.555000	6306.345000	-2424.195000	449.460000	-1.395038	-4.861020	-11.584723	-2.524651	-0.987577	-1.717798	-0.607311	3.550310	-2.517900	4.440660	-5.478340	0.876096	-0.418822	0.235656	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	68.551724	0.000000	-1.000000	-1.000000	1427600.000000	1773690412.141001
6129.090000	14694.885000	22425.660000	9826.110000	-14834.925000	6311.385000	-2428.470000	441.540000	-0.987496	-2.368586	-7.681041	-0.008244	1.134584	-0.014870	1.134103	0.871472	-2.075360	4.883200	-4.684820	0.876707	-0.415954	0.234619	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	68.551724	0.000000	-1.000000	-1.000000	1427601.000000	1773690412.150836
6120.675000	14696.730000	22428.270000	9826.650000	-14832.990000	6313.545000	-2420.595000	430.965000	0.376672	-0.375546	-3.340456	1.193778	2.370648	1.032567	2.463054	-0.771565	-2.075360	4.883200	-4.684820	0.876707	-0.415954	0.234619	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	68.551724	0.000000	-1.000000	-1.000000	1427602.000000	1773690412.150848
6113.835000	14673.150000	22409.775000	9809.595000	-14844.645000	6306.615000	-2412.540000	461.835000	1.038118	-0.928036	-2.130020	0.637652	2.646242	1.334297	3.245288	-0.733404	-2.075360	4.883200	-4.684820	0.876707	-0.415954	0.234619	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	68.551724	0.000000	-1.000000	-1.000000	1427603.000000	1773690412.151038
6112.710000	14654.070000	22392.270000	9794.835000	-14854.905000	6291.765000	-2428.065000	477.990000	-0.104432	-3.820842	-3.485142	-1.228967	1.561251	0.577696	3.465736	1.139247	-2.075360	4.883200	-4.684820	0.876707	-0.415954	0.234619	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	68.551724	0.000000	-1.000000	-1.000000	1427604.000000	1773690412.151087
6091.290000	14666.985000	22395.870000	9795.510000	-14846.670000	6309.495000	-2430.675000	458.370000	-2.630916	-6.902488	-4.733814	-3.632731	-0.983531	-1.330236	2.426653	3.984054	-2.075360	4.883200	-4.684820	0.876707	-0.415954	0.234619	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	68.551724	0.000000	-1.000000	-1.000000	1427605.000000	1773690412.153937
6096.330000	14692.275000	22419.405000	9815.670000	-14816.430000	6350.760000	-2420.685000	451.620000	-5.201273	-6.603003	-3.317182	-4.734352	-3.000476	-2.220069	0.193893	5.076771	-2.075360	4.883200	-4.684820	0.876707	-0.415954	0.234619	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	68.551724	0.000000	-1.000000	-1.000000	1427606.000000	1773690412.153953
