Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
11560.590000	-14977.305000	9560.745000	13112.370000	-31570.470000	-28564.695000	5080.005000	10069.335000	-2.086551	3.036496	0.805898	1.391581	1.241710	-2.363278	-2.003772	-1.731357	-1.022420	3.784480	-0.686700	0.914487	-0.359313	0.230407	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.172414	0.000000	-1.000000	-1.000000	1628639.000000	1773690814.366786
11575.035000	-14968.440000	9557.685000	13119.705000	-31564.710000	-28577.655000	5085.405000	10032.030000	3.427684	3.015077	1.032516	0.113025	-1.977688	-7.047137	-3.535202	0.966178	-1.022420	3.784480	-0.686700	0.914487	-0.359313	0.230407	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.172414	0.000000	-1.000000	-1.000000	1628640.000000	1773690814.366799
11572.920000	-14976.945000	9550.485000	13117.815000	-31561.650000	-28564.470000	5085.900000	10040.805000	7.587930	1.390391	-0.080966	-1.348257	-4.180556	-9.136254	-3.026778	0.212988	-2.609460	2.899400	-0.763000	0.912290	-0.354857	0.231017	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.172414	0.000000	-1.000000	-1.000000	1628641.000000	1773690814.366812
11566.395000	-14994.180000	9535.995000	13102.425000	-31571.145000	-28570.005000	5084.145000	10098.180000	8.376252	-1.611329	-2.875280	-3.141103	-5.407797	-8.273774	-2.113574	-0.559791	-2.609460	2.899400	-0.763000	0.912290	-0.354857	0.231017	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.172414	0.000000	-1.000000	-1.000000	1628642.000000	1773690814.366817
11560.995000	-14989.725000	9548.820000	13102.605000	-31569.480000	-28564.650000	5081.265000	10097.685000	5.619865	-4.943223	-5.838033	-4.961390	-5.648563	-4.714322	-2.084350	3.481241	-2.609460	2.899400	-0.763000	0.912290	-0.354857	0.231017	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.172414	0.000000	-1.000000	-1.000000	1628643.000000	1773690814.367015
11564.820000	-14974.965000	9571.230000	13113.900000	-31560.705000	-28550.115000	5080.320000	10078.920000	1.186445	-6.770061	-6.339797	-5.734907	-4.628515	0.079219	-2.580445	10.565265	-2.609460	2.899400	-0.763000	0.912290	-0.354857	0.231017	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.172414	0.000000	-1.000000	-1.000000	1628644.000000	1773690814.367026
11565.945000	-14979.465000	9561.285000	13111.155000	-31562.055000	-28548.315000	5075.055000	10080.855000	-2.480818	-5.562950	-3.088983	-4.346999	-2.222392	4.535488	-2.262712	13.381332	-2.609460	2.899400	-0.763000	0.912290	-0.354857	0.231017	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.172414	0.000000	-1.000000	-1.000000	1628645.000000	1773690814.367204
11569.410000	-14979.870000	9566.055000	13119.795000	-31562.280000	-28557.135000	5081.400000	10086.660000	-4.138742	-1.762736	2.078264	-0.902767	0.915038	7.454207	-0.377068	8.057476	-2.609460	2.899400	-0.763000	0.912290	-0.354857	0.231017	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.172414	0.000000	-1.000000	-1.000000	1628646.000000	1773690814.367214
11546.325000	-14973.660000	9572.445000	13125.330000	-31563.675000	-28573.920000	5082.030000	10074.420000	-4.185825	2.559276	6.027080	3.263123	3.407061	7.278543	2.388217	-2.320683	-2.609460	2.899400	-0.763000	0.912290	-0.354857	0.231017	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.172414	0.000000	-1.000000	-1.000000	1628647.000000	1773690814.371155
11527.785000	-14952.420000	9591.435000	13142.205000	-31538.565000	-28536.165000	5092.785000	10062.135000	-4.095441	5.630929	7.237772	6.541384	4.464069	3.883709	4.456435	-11.567995	-2.609460	2.899400	-0.763000	0.912290	-0.354857	0.231017	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	67.172414	0.000000	-1.000000	-1.000000	1628648.000000	1773690814.371166
