Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
19419.030000	-3935.160000	24823.350000	30696.075000	12703.365000	-48399.795000	-42182.910000	-17681.715000	-27.771925	-31.024654	-37.095651	-32.368359	-15.854134	-29.675168	-28.672387	-17.548463	-3.326680	1.739640	0.152600	0.872800	-0.203613	0.432433	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	407534.000000	1774904749.559669
19429.830000	-3915.810000	24826.455000	30700.035000	12722.355000	-48376.890000	-42162.390000	-17675.775000	-8.874408	-13.099356	-27.835330	-15.197188	-5.131258	-16.887404	-22.982885	3.646980	-3.326680	1.739640	0.152600	0.872800	-0.203613	0.432433	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	407535.000000	1774904749.565703
19439.505000	-3914.640000	24817.185000	30678.435000	12716.055000	-48374.595000	-42153.975000	-17663.670000	13.456079	9.927827	-6.324737	7.432741	6.903618	3.559250	-5.771240	23.823821	-3.326680	1.739640	0.152600	0.872800	-0.203613	0.432433	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	407536.000000	1774904749.565713
19446.480000	-3918.780000	24800.760000	30645.945000	12699.225000	-48384.045000	-42158.070000	-17652.060000	31.063229	29.030666	16.530737	25.767435	17.514581	24.278898	14.966158	35.725953	-3.326680	1.739640	0.152600	0.872800	-0.203613	0.432433	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	407537.000000	1774904749.567549
19435.320000	-3921.255000	24798.645000	30657.555000	12703.995000	-48378.105000	-42158.970000	-17659.395000	38.375209	37.515984	29.941336	33.009653	23.450835	36.859866	28.992661	36.306040	-3.326680	1.739640	0.152600	0.872800	-0.203613	0.432433	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	407538.000000	1774904749.567556
19435.050000	-3910.275000	24827.130000	30711.645000	12720.735000	-48366.945000	-42154.785000	-17670.105000	33.162009	33.094345	29.746601	29.287794	21.581217	36.329026	30.593065	25.863845	-3.326680	1.739640	0.152600	0.872800	-0.203613	0.432433	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	407539.000000	1774904749.571379
19458.135000	-3908.970000	24849.315000	30729.510000	12725.595000	-48365.595000	-42149.205000	-17633.610000	17.462666	18.450545	20.247858	19.394197	11.653801	23.496801	21.343295	8.578179	-3.326680	1.739640	0.152600	0.872800	-0.203613	0.432433	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	407540.000000	1774904749.571390
19471.860000	-3895.470000	24879.960000	30754.035000	12753.180000	-48336.795000	-42124.095000	-17593.830000	-1.673214	0.880618	10.011361	8.543282	-1.303380	5.232306	8.337840	-7.927924	-6.729660	1.434440	0.167860	0.869505	-0.198486	0.432250	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	407541.000000	1774904749.575605
19489.635000	-3873.690000	24887.205000	30760.065000	12761.910000	-48326.490000	-42119.010000	-17594.190000	-16.051426	-11.837926	3.999172	-0.349006	-10.321008	-9.619750	-1.490779	-17.517227	-6.729660	1.434440	0.167860	0.869505	-0.198486	0.432250	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	407542.000000	1774904749.575616
19492.470000	-3867.390000	24881.490000	30743.145000	12744.675000	-48335.625000	-42144.615000	-17613.405000	-22.066582	-17.161097	-0.025771	-7.881928	-13.271477	-17.181803	-7.083924	-20.028001	-6.729660	1.434440	0.167860	0.869505	-0.198486	0.432250	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	407543.000000	1774904749.579512
19464.930000	-3893.445000	24860.835000	30722.535000	12708.585000	-48348.315000	-42160.995000	-17643.780000	-21.782211	-18.114775	-6.599682	-15.850751	-13.731104	-19.824792	-12.224984	-19.593277	-6.729660	1.434440	0.167860	0.869505	-0.198486	0.432250	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	407544.000000	1774904749.579522
19439.280000	-3928.590000	24822.135000	30687.435000	12658.050000	-48381.615000	-42170.760000	-17663.445000	-19.032517	-18.169672	-16.023830	-22.818634	-14.754943	-20.471592	-18.479356	-19.160559	-6.729660	1.434440	0.167860	0.869505	-0.198486	0.432250	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	407545.000000	1774904749.583720
19417.410000	-3932.010000	24812.910000	30682.260000	12668.085000	-48396.015000	-42178.815000	-17685.630000	-15.489159	-17.348217	-23.951409	-24.415375	-14.737350	-19.020875	-22.240581	-17.907976	-6.729660	1.434440	0.167860	0.869505	-0.198486	0.432250	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	407546.000000	1774904749.583730
19433.160000	-3887.595000	24848.775000	30724.065000	12748.905000	-48359.385000	-42174.495000	-17669.520000	-9.944622	-12.625632	-24.919201	-17.899638	-9.176899	-13.637069	-19.138824	-12.863608	-6.729660	1.434440	0.167860	0.869505	-0.198486	0.432250	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	84.000000	0.000000	-1.000000	-1.000000	407547.000000	1774904749.587404
