Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
19002.870000	-9795.420000	15060.330000	28005.480000	10229.985000	-45405.720000	-37092.555000	-19248.885000	16.101789	16.031530	16.416042	17.287042	17.466496	16.833675	9.595858	11.071796	-4.562740	6.302380	-0.442540	0.820310	-0.163574	0.525817	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	82.275862	0.000000	-1.000000	-1.000000	660048.000000	1774905254.641069
19008.180000	-9790.065000	15064.965000	28009.980000	10234.710000	-45400.230000	-37088.910000	-19242.450000	9.283366	10.209289	10.751455	11.351413	11.133785	10.829215	8.921428	7.421978	-4.562740	6.302380	-0.442540	0.820310	-0.163574	0.525817	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	82.275862	0.000000	-1.000000	-1.000000	660049.000000	1774905254.641080
19025.235000	-9779.265000	15072.885000	28017.090000	10242.270000	-45392.355000	-37087.695000	-19220.445000	1.955391	3.988057	4.542810	4.666120	4.111339	4.279339	7.041643	2.011963	-4.562740	6.302380	-0.442540	0.820310	-0.163574	0.525817	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	82.275862	0.000000	-1.000000	-1.000000	660050.000000	1774905254.641086
19051.470000	-9759.555000	15088.455000	28031.580000	10255.860000	-45378.900000	-37087.740000	-19195.740000	-5.572626	-3.418551	-3.562998	-4.004927	-4.666836	-4.069516	2.012762	-3.595108	-4.394880	6.851740	0.473060	0.819029	-0.167541	0.524230	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	82.275862	0.000000	-1.000000	-1.000000	660051.000000	1774905254.644847
19037.340000	-9768.105000	15083.820000	28027.350000	10252.215000	-45380.790000	-37091.970000	-19221.750000	-11.225096	-10.466495	-11.872524	-12.733900	-13.230005	-12.477034	-5.263322	-7.045211	-4.394880	6.851740	0.473060	0.819029	-0.167541	0.524230	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	82.275862	0.000000	-1.000000	-1.000000	660052.000000	1774905254.644930
19024.560000	-9771.795000	15084.180000	28025.820000	10253.610000	-45378.675000	-37083.375000	-19242.990000	-14.421842	-15.489245	-17.757358	-18.693083	-18.771365	-18.102590	-11.986632	-9.569206	-4.394880	6.851740	0.473060	0.819029	-0.167541	0.524230	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	82.275862	0.000000	-1.000000	-1.000000	660053.000000	1774905254.660516
19001.655000	-9799.155000	15047.640000	27984.510000	10215.000000	-45417.330000	-37094.535000	-19244.340000	-16.241861	-18.115138	-20.119158	-20.879321	-20.359949	-19.832665	-15.529289	-13.141549	-4.394880	6.851740	0.473060	0.819029	-0.167541	0.524230	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	82.275862	0.000000	-1.000000	-1.000000	660054.000000	1774905254.660528
18983.385000	-9819.045000	15016.500000	27961.065000	10192.320000	-45438.795000	-37098.360000	-19248.975000	-16.298672	-17.885849	-19.016444	-19.534460	-18.479660	-18.101524	-14.413705	-15.293345	-4.394880	6.851740	0.473060	0.819029	-0.167541	0.524230	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	82.275862	0.000000	-1.000000	-1.000000	660055.000000	1774905254.660542
18997.740000	-9794.655000	15045.390000	27990.450000	10216.980000	-45415.305000	-37092.195000	-19245.915000	-12.221904	-13.232315	-13.771326	-13.806835	-12.687492	-12.533374	-8.449006	-11.481812	-4.394880	6.851740	0.473060	0.819029	-0.167541	0.524230	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	82.275862	0.000000	-1.000000	-1.000000	660056.000000	1774905254.660547
18999.945000	-9790.380000	15061.230000	28018.215000	10239.300000	-45394.695000	-37081.755000	-19231.155000	-2.806134	-3.187030	-3.152928	-2.208132	-1.826061	-2.024894	0.824984	-1.045826	-4.394880	6.851740	0.473060	0.819029	-0.167541	0.524230	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	82.275862	0.000000	-1.000000	-1.000000	660057.000000	1774905254.660553
19051.515000	-9740.655000	15129.945000	28075.950000	10295.595000	-45339.120000	-37043.190000	-19173.240000	9.418559	9.875392	11.518575	13.590211	12.585090	11.938064	10.280857	11.832461	-4.394880	6.851740	0.473060	0.819029	-0.167541	0.524230	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	82.275862	0.000000	-1.000000	-1.000000	660058.000000	1774905254.660557
19133.370000	-9664.200000	15198.480000	28143.720000	10362.735000	-45272.565000	-36993.420000	-19102.860000	20.499771	21.739276	25.985365	28.293336	26.035504	25.007803	17.295793	22.258063	-4.394880	6.851740	0.473060	0.819029	-0.167541	0.524230	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	82.275862	0.000000	-1.000000	-1.000000	660059.000000	1774905254.662575
19117.080000	-9697.275000	15157.395000	28102.680000	10328.220000	-45305.325000	-37027.485000	-19131.975000	26.918936	28.147930	33.949324	35.025952	32.630181	31.526440	19.810210	26.338651	-4.394880	6.851740	0.473060	0.819029	-0.167541	0.524230	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	82.275862	0.000000	-1.000000	-1.000000	660060.000000	1774905254.662594
19016.280000	-9804.915000	15048.045000	27989.100000	10218.060000	-45413.640000	-37109.655000	-19239.480000	23.257095	22.967783	27.101878	26.158806	25.172539	24.463437	13.863535	19.244193	-2.945180	6.424460	1.052940	0.817686	-0.172424	0.524352	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	82.275862	0.000000	-1.000000	-1.000000	660061.000000	1774905254.676034
18911.610000	-9895.185000	14962.905000	27905.355000	10133.460000	-45497.970000	-37161.585000	-19334.655000	4.777896	2.072503	1.731522	-0.810452	0.462334	0.542206	-3.137255	-1.886556	-2.945180	6.424460	1.052940	0.817686	-0.172424	0.524352	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	82.275862	0.000000	-1.000000	-1.000000	660062.000000	1774905254.676047
18931.410000	-9866.700000	14993.505000	27937.620000	10165.680000	-45465.390000	-37138.815000	-19310.490000	-22.765347	-26.404582	-31.006868	-33.844769	-30.950977	-30.052625	-24.342927	-29.593167	-2.945180	6.424460	1.052940	0.817686	-0.172424	0.524352	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	82.275862	0.000000	-1.000000	-1.000000	660063.000000	1774905254.676059
18980.460000	-9821.835000	15036.030000	27979.605000	10208.385000	-45421.605000	-37111.455000	-19265.445000	-41.184140	-42.768397	-48.631534	-50.431497	-47.527866	-46.201545	-34.840645	-45.631175	-2.945180	6.424460	1.052940	0.817686	-0.172424	0.524352	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	82.275862	0.000000	-1.000000	-1.000000	660064.000000	1774905254.676064
19032.660000	-9778.095000	15073.020000	28013.400000	10242.540000	-45388.215000	-37077.390000	-19213.515000	-34.834252	-33.071358	-37.217309	-37.551000	-35.919521	-34.713599	-25.001583	-35.542256	-2.945180	6.424460	1.052940	0.817686	-0.172424	0.524352	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	82.275862	0.000000	-1.000000	-1.000000	660065.000000	1774905254.676069
19045.485000	-9765.135000	15084.000000	28022.895000	10250.235000	-45381.555000	-37067.985000	-19189.440000	-6.295891	-2.757938	-4.589163	-4.056268	-3.948130	-3.277742	0.055783	-3.334784	-2.945180	6.424460	1.052940	0.817686	-0.172424	0.524352	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	82.275862	0.000000	-1.000000	-1.000000	660066.000000	1774905254.676074
19054.530000	-9755.055000	15090.795000	28028.655000	10254.150000	-45377.640000	-37062.090000	-19177.245000	25.011653	27.996340	27.086424	27.749052	26.774529	26.741954	24.451103	30.482919	-2.945180	6.424460	1.052940	0.817686	-0.172424	0.524352	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	82.275862	0.000000	-1.000000	-1.000000	660067.000000	1774905254.676079
19077.345000	-9725.085000	15121.035000	28059.705000	10283.355000	-45350.370000	-37048.185000	-19170.225000	38.929376	40.586267	39.513167	40.210704	38.642450	37.971712	34.039456	45.199078	-2.945180	6.424460	1.052940	0.817686	-0.172424	0.524352	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	82.275862	0.000000	-1.000000	-1.000000	660068.000000	1774905254.676084
19031.580000	-9765.765000	15081.975000	28023.750000	10252.530000	-45378.765000	-37079.145000	-19229.085000	30.173245	31.557458	30.966556	32.046281	30.211046	29.129737	26.516721	35.215821	-2.945180	6.424460	1.052940	0.817686	-0.172424	0.524352	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	82.275862	0.000000	-1.000000	-1.000000	660069.000000	1774905254.680676
18962.280000	-9833.040000	15018.750000	27961.695000	10192.410000	-45436.545000	-37123.200000	-19297.530000	8.846240	11.134343	12.473348	14.188041	12.482709	11.377588	9.881649	10.840838	-2.945180	6.424460	1.052940	0.817686	-0.172424	0.524352	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	82.275862	0.000000	-1.000000	-1.000000	660070.000000	1774905254.680689
18927.495000	-9867.780000	14985.090000	27927.405000	10156.185000	-45473.985000	-37148.220000	-19319.220000	-11.166227	-8.585870	-4.816844	-2.680553	-3.736901	-4.400952	-6.591093	-12.759202	-1.266580	5.646200	-0.061040	0.818113	-0.171814	0.526244	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	82.275862	0.000000	-1.000000	-1.000000	660071.000000	1774905254.692623
18974.970000	-9826.695000	15023.835000	27965.520000	10195.245000	-45434.610000	-37117.080000	-19271.655000	-21.227135	-20.579416	-15.436479	-13.691794	-13.806181	-13.799112	-17.276079	-25.178265	-1.266580	5.646200	-0.061040	0.818113	-0.171814	0.526244	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	82.275862	0.000000	-1.000000	-1.000000	660072.000000	1774905254.692636
